kalimat,type
Algorithm and Object Oriented Programming Methods,nm
"Mata kuliah algoritma dan metode object oriented programming memuat konsep-konsep dasar dalam membuat algoritma dan pemrograman yang berorientasi object dengan menggunakan bahasa C++. Fitur utamanya adalah element dasar dalam c++, input output stream, struktur data, control structures, fungsi, algoritma pengurutan data, algoritma pencarian, file stream. inheritance, polymorphism dan generic programming.",dm
CP 1: menggunakan sintaks dan fungsi di dalam bahasa C++,cp
1. Pengertian Algoritma dan Pemrograman; Perbedaan antara POP and OOP; Elemen - elemen dasar C++;Input and Output Stream 2. Struktur Kontrol dan Operator 3. Data Struktur dan Fungsi 4. Algoritma Pengurutan dan Pencarian Data 5. Operasi File 6. Object-Oriented Programming; Class and Model Objek 7. Constructors and Destructor; Nesting Object and Friend; Operator Overloading 8. Inheritance 9. Polymorphism 10. Generic Programming,pb
Basis Data,nm
"Mata kuliah ini menjelaskan tentang konsep dan definisi dari basis data, mulai dari komponen penyusun basis data, arsitektur dan perancangan basis data dengan menggunakan pendekatan model relasional ( entity relationship diagram). Selain itu dibahas tentang konsep mapping antara model konseptual kedalam model fisik basis data. Selanjutnya dikenalkan konsep normalisasi basis data sebagai bagian dari metode pengujian kualitas rancangan basis data. Setelah itu dipelajari konsep pengolahan basis data dengan pendekatan notasi aljabar relasional yang diperkuat dengan pengenalan konsep dan impelementasi penggunaan bahasa query (SQL) melalui DDL dan DML.",dm
Konsep Basis Data   Objek Basis Data Relasional   ERD   Mapping   Database Designer   Normalisasi   Aljabar Relasional   SQL   Perancangan Basis Data dalam RDBMS   Pembuatan Aplikasi dengan RDBMS,pb
data center management menggunakan docker container,nm
"process isolation diperlukan dalam rangka memberikan kontrol akses yang lebih terjamin. dibandingkan dengan penggunaan VM yang membutuhkan resource yang lebih, penggunaan linux container dapat menghemat resource, dan mempersingkat waktu pembuatan (provisioning). Mata kuliah ini akan membahas tentang pemanfaatan linux container dalam pengelolaan data center",dm
1. Siswa mampu memahami cara kerja docker container,cp
1. instalasi docker2. docker-compose3. pengelolaan memory,pb
Interaksi Manusia Komputer,nm
"Kuliah ini memberikan dasar-dasar yang dibutuhkan untuk mendesain interaksi manusia komputer, melakukan perancangan, pengembangan dan evaluasi rancangan desain interaksi yang berorientasi pada pengguna. Mata Kuliah Interaksi Manusia dan Komputer ini terdiri dari 11 Topik Bahasan, dimana pada setiap topik tersebut anda akan belajar mandiri mengenai desain interaksi manusia dan komputer. Pada Mata kuliah ini, Anda akan mengerjakan kuis pada beberapa sesi dan penugasan baik itu merupakan tugas individu maupun tugas kelompok.",dm
Setelah mengikuti kuliah ini siswa dapat menjelaskan dan menerapkan prinsip-prinsip perancangan dan usability dalam pengembangan desain interaksi  suatu perangkat lunak.,cp
"Pokok bahasan perkuliahan terdiri dari: ·         Konsep dalam desain interaksi, ·         pemahaman dan konseptualisasi interaksi, ·         aspek kognitif, ·         perancangan untuk kolaborasi & komunikasi, ·         pengaruh antarmuka, ·         proses dalam interaksi desain, ·         pembuatan prototip, ·         perancangan interaksi yang berorientasi pada user, ·         pengenalan tentang evaluasi dan ragam teknik untuk usability testing, ·         studi kasus perancangan antarmuka dan interaksinya dalam pengembangan perangkat lunak.",pb
Jaringan Komputer,nm
"Mata kuliah Jaringan Komputer merupakan mata kuliah dasar yang mempelajari konsep-konsep serta teknologi jaringan komputer. Materi kuliah meliputi: teknologi dan topologi jaringan komputer, OSI Model, TCP/IP Model, protokol routing,  local area network (LAN), wide area network(WAN), wireless network, protokol-protokol di layer aplikasi, dan beberapa topik terkini tentang jaringan komputer.  Mata kuliah jaringan komputer menitik beratkan pada pembahasan layer 3 (Network Layer) sampai dengan layer 7 (Application Layer) dari Model OSI. Hal ini perlu disampaikan terkait adanya overlap dengan mata kuliah Komunikasi Data yang lebih mendalami layer 3 (Network Layer) sampai dengan layer 1 (Physical Layer).",dm
"CP-01: Mampu menjelaskan dan menggambarkan konsep-konsep jaringan komputer. CP-02: Mampu menjelaskan pemanfaatan teknologi jarngan komputer pada kehidupan sehari-hari. CP-03: Mampu menjelaskan fungsi ketujuh layer model referensi OSI dari layer Fisik sampai layer Aplikasi. CP-04: Mampu menjelaskan protokol-protokol jaringan yang digunakan dalam ketujuh layer OSI serta algoritmanya. CP-05: Mampu merancang jaringan komputer lokal (Local Area Network, LAN) baik dari sisi alokasi nomor IP, subnetting,  maupun prinsip instalasi jaringannya. CP-06: Mampu menerapkan algoritma yang dipakai dalam routing statik maupun dinamik sederhana. CP-07: Mampu menjelaskan prinsip kerja protokol-protokol pada layer aplikasi seperti: DNS, HTTP, FTP, dsb. CP-08: Mampu menjelaskan teknologi yang dipergunakan pada jaringan wide area network CP-09: Mengenal konsep dan dasar-dasar teknologi sistem terdistribusi dan cloud computing. CP-10: Mahasiswa memiliki soft skill yang kuat dan lebih percaya diri.",cp
Pengantar Jaringan Komputer. Model Referensi OSI dan TCP/IP .  Protokol dan Fungsionalitas Layer Aplikasi. Protokol Layer Transport.  Karakteristik Protokol Layer Network.  Pengalamatan IP. Subnetting. Karakeristik Layer Datalink. Protokol Routing.  Dynamic Routing Protocol  . Wide Area Network .   Wireless Local Area Network (WLAN).  Virtual Local Area Network (VLAN). Pengantar Cloud Computing,pb
Machine Learning,nm
"Memahami keterhubungan (relationships) dan ketergantungan (depedencies) dalam suatu koleksi data adalah suatu aspek yang sangat penting dalam menganalisis data tersebut. Ketika tidak ada pendekatan pemodelan yang mudah untuk melakukan hal tersebut, maka pendekatan cerdas berbasis data (data-driven method), dikenal juga dengan nama machine learning, menjadi solusi alternatif. Dengan kata lain, machine learning adalah metode analisis data yang dapat belajar dari data, sehingga menjadi cerdas. Cerdas dalam artian dapat melakukan generalisasi untuk data baru. Saat ini, machine learning telah menjadi perangkat analisis data yang sangat penting. Hal in dapat dilihat bahwa topik ini telah menjadi bidang kajian pada beberapa industri besar, seperti Google, nbsp;Microsoft, nbsp;Yahoo, dll.",dm
Manajemen Keamanan Informasi dan Internet,nm
"Sejalan dengan besarnya manfaat yang diberikan oleh internet kepada masyarakat dan dunia usaha, meningkat pula risiko yang mendampinginya. Paradoks ini merupakan akibat dari semakin tingginya nilai intrinsik dari dunia maya. Hal ini berarti bahwa setiap organisasi atau perusahaan yang memanfaatkan internet untuk meningkatkan kinerjanya pada saat yang sama harus perduli dengan isu keamanan yang menyertainya. Dengan mengikuti mata kuliah ini, peserta didik akan dibekali dengan pengetahuan isu keamanan informasi di internet dari berbagai dimensi dan spektrum yang ada. Disamping itu, peserta didik akan memiliki kemampuan dalam mendeteksi potensi kerawanan apa yang ada dalam sebuah sistem teknologi informasi berbasis internet dan bagaimana cara mencegah serta menanggulanginya.",dm
Fenomena Keamanan Informasi dan Internet   Hackers dan Kerawanan Sistem   Serangan dan Strategi Pengamanan   Penyusunan Kebijakan dan Prosedur Keamanan   Transaksi Elektronik dan Bukti Digital,pb
Manajemen Organisasi Teknologi Informasi Korporasi,nm
"Dalam konteks perusahaan, pada akhirnya sumber daya manusialah yang akan menjalankan sistem dan teknologi informasi untuk berbagai keperluan. Mata kuliah ini bertujuan untuk membekali peserta didik dengan pengetahuan dan kemampuan untuk merancang serta mengembangkan organisasi beserta kulturnya agar tercipta lingkungan yang kondusif dalam mengimplementasikan teknologi informasi dan komunikasi. Selain teori dan konsep organisasi, dalam mata kuliah ini dibahas pula berbagai aspek terkait dengan tata kelola (governance), manajemen, dan aktivitas pendukung organisasi lainnya - baik diperuntukkan bagi organisasi kecil maupun sebuah korporasi besar (konglomerat).",dm
PERSPEKTIF UTAMA SISTEM ORGANISASI   PENGELOLAAN TEKNOLOGI INFORMASI   MEMBUDAYAKAN LITERASI INFORMASI   SISTEM SENTRALISASI DAN DESENTRALISASI ORGANISASI   TREN STRUKTUR ORGANISASI ABAD-21   PERENCANAAN DAN PENGATURAN   PENGADAAN DAN PENERAPAN   INTEGRASI DAN SHARED-SERVICES ORGANISATION   PRINSIP IT GOVERNANCE   MANAJEMEN PERUBAHAN   STANDAR ISO-38500   STUDI KASUS LAPANGAN,pb
Manajemen Proyek Perangkat Lunak,nm
Melalui mata kuliah ini Mahasiswa mampu memahami teknik manajemen proyek dan mengelola pengembangan proyek TI dengan menerapkan konsep pengembangan proyek perangkat lunak .,dm
Mahasiswa mampu memahami teknik manajemen proyek dan mengelola pengembangan proyek TI dengan menerapkan konsep pengembangan proyek perangkat lunak .,cp
pembuatan proposal penanganan SDM penanganan Sumber Daya Keuangan,pb
Pengantar Manajemen Bisnis,nm
"Mata kuliah ini mempelajari tentang dasar-dasar manajemen dan bisnis yang diperlukan dalam mengelola dinamika organisasi. Dinamika organisasi berarti adanya penghargaan dan tantangan bagi para individu yang mengelola organisasi tersebut. Mata kuliah ini menguraikan dasar-dasar manajemen dan organisasi, hambatan dan tantangan bagi bisnis global, pemahaman lingkungan bisnis, etika dan tanggung jawab dan sosial serta fungsi produksi, pemasaran dan keuangan. Mata kuliah ini memberikan pengetahuan dasar bagi mahasiswa yang berkaitan dengan dunia manajemen dan bagaimana pengelolaan bisnis pada abad 21.",dm
